batch_size,blank_count,cell_accuracy,checkpoint,clue_violations,complete_valid,dataset,elapsed_ms,exact,example_id,experiment,invalid,method,runtime_multiplier,seed,unit_conflicts,votes
3,2,0.9753086419753086,checkpoints/sudoku_extreme_hf/checkpoint,2,0,blanks_2,418.88913999999033,0,8,test_time_voting,1,majority,3,0,6,3
3,2,0.8765432098765432,checkpoints/sudoku_extreme_hf/checkpoint,9,1,blanks_2,418.88913999999033,0,8,test_time_voting,1,rerank,3,0,0,3
3,2,0.9506172839506173,checkpoints/sudoku_extreme_hf/checkpoint,4,1,blanks_2,415.1161620000039,0,9,test_time_voting,1,single,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,415.1161620000039,1,9,test_time_voting,0,majority,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,415.1161620000039,1,9,test_time_voting,0,rerank,3,0,0,3
3,2,0.8518518518518519,checkpoints/sudoku_extreme_hf/checkpoint,11,1,blanks_2,416.0558490000028,0,10,test_time_voting,1,single,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,416.0558490000028,1,10,test_time_voting,0,majority,3,0,0,3
3,2,0.9506172839506173,checkpoints/sudoku_extreme_hf/checkpoint,4,1,blanks_2,416.0558490000028,0,10,test_time_voting,1,rerank,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,429.1862290000097,1,11,test_time_voting,0,single,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,429.1862290000097,1,11,test_time_voting,0,majority,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,429.1862290000097,1,11,test_time_voting,0,rerank,3,0,0,3
3,2,0.9259259259259259,checkpoints/sudoku_extreme_hf/checkpoint,5,1,blanks_2,425.356696999998,0,12,test_time_voting,1,single,3,0,0,3
3,2,0.9753086419753086,checkpoints/sudoku_extreme_hf/checkpoint,2,0,blanks_2,425.356696999998,0,12,test_time_voting,1,majority,3,0,6,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,425.356696999998,1,12,test_time_voting,0,rerank,3,0,0,3
3,2,0.8641975308641975,checkpoints/sudoku_extreme_hf/checkpoint,10,1,blanks_2,394.4502140000026,0,13,test_time_voting,1,single,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,394.4502140000026,1,13,test_time_voting,0,majority,3,0,0,3
3,2,0.9135802469135802,checkpoints/sudoku_extreme_hf/checkpoint,7,1,blanks_2,394.4502140000026,0,13,test_time_voting,1,rerank,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,423.0275040000038,1,14,test_time_voting,0,single,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,423.0275040000038,1,14,test_time_voting,0,majority,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,423.0275040000038,1,14,test_time_voting,0,rerank,3,0,0,3
3,2,0.7901234567901234,checkpoints/sudoku_extreme_hf/checkpoint,17,1,blanks_2,391.64792600000453,0,15,test_time_voting,1,single,3,0,0,3
3,2,0.9506172839506173,checkpoints/sudoku_extreme_hf/checkpoint,4,0,blanks_2,391.64792600000453,0,15,test_time_voting,1,majority,3,0,6,3
3,2,0.9012345679012346,checkpoints/sudoku_extreme_hf/checkpoint,8,1,blanks_2,391.64792600000453,0,15,test_time_voting,1,rerank,3,0,0,3
3,5,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_5,409.7509249999973,1,0,test_time_voting,0,single,3,0,0,3
3,5,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_5,409.7509249999973,1,0,test_time_voting,0,majority,3,0,0,3
3,5,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_5,409.7509249999973,1,0,test_time_voting,0,rerank,3,0,0,3
